ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
8075,Under Construction,Oct '25,14,N,DOSTI REALTY,8,10551398,1.05 Cr,"Ceramic Tiles,Granite,Marble,Mosaic,Vitrified,Wooden",880,Dosti Tulip,11990,661,Balkum village,NA,Sq-ft,Freehold,Semi-Furnished,2,"1 Covered, 1 Open",North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,1,Y,NA,NA
8074,Under Construction,Dec '25,27,N,Runwal Developers,18,6900000,69 Lac,"Ceramic Tiles,Granite,Marble,Mosaic,Vitrified,Wooden",650,Runwal Codename Enchanted,10615,418,Kolshet,NA,Sq-ft,Freehold,Semi-Furnished,2,"1 Covered, 1 Open",North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,52,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
8073,Under Construction,Dec '24,10,N,NA,5,7500000,75 Lac,Vitrified,750,NA,10000,470,Manpada,"Near Neelkanth Woods, Patlipada, Thane West",Sq-ft,Freehold,Unfurnished,2,1 Covered,North - West,Garden/Park,New Property,Apartment,Thane,1,30,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
8072,Ready to Move,Jun '22,10,N,Risland India,NA,11400000,1.14 Cr,Marble,1065,The Icon by Risland,10704,671,Dhokali,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - East,Garden/Park,New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
8071,Ready to Move,NA,2,N,Hiranandani Group,0,16000000,1.60 Cr,"Marble,Wooden",825,One Hiranandani Park,19393,535,Hiranandani Estate,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,North - East,Garden/Park,Resale,Apartment,Thane,2,2,F,Sq-ft,Y,2 BHK Flat,0,New Construction,2,Y,NA,NA
8070,Ready to Move,Dec '22,9,N,Rustomjee,4,12106000,1.21 Cr,"Granite,Marbonite,Vitrified,Wooden",746,Rustomjee Urbania,16227,746,Majiwada,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
8069,Ready to Move,NA,6,N,TATA Housing Development Company Ltd.,5,57000000,5.70 Cr,"Marble,Vitrified,Wooden",3000,Tata Serein,19000,1800,Pokharan Road Number 2,Newly Constructed Property,Sq-ft,Freehold,Unfurnished,4,3 Covered,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,4,30,F,Sq-ft,Y,4 BHK Flat,0,New Construction,2,NA,NA,NA
8068,Ready to Move,NA,21,Y,NA,2,16500000,1.65 Cr,"Vitrified,Wooden",855,NA,19298,685,Pokharan Road Number 2,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,29,F,Sq-ft,Y,2 BHK Flat,0,New Construction,2,NA,NA,NA
8067,Ready to Move,NA,5,N,Lodha,NA,190000000,19 Cr,NA,902,Lodha Sterling,210643,NA,Kolshet Road,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,7,F,NA,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8051,Ready to Move,NA,4,Y,Conwood Realty,NA,2200000,22 Lac,NA,480,Conwood Enclave,4583,NA,Vasant Vihar,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,7,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
